dataset,model,checkpoint,train_loss,val_loss,epoch,batch_size,temperature,learning_rate,gen_gap,attr
uniform,SimCLR,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimCLR/uniform/u4uhrhu8_encoder_epoch15.pth,3.0936315517340387,3.0687085723876955,15,64,0.95,0.0006648682606295,-0.0249229793463432,best
moderate,SimCLR,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimCLR/moderate/g4z3a6hh_encoder_epoch15.pth,3.0859823184353963,3.0698025321960447,15,64,0.4,0.001293823707833,-0.0161797862393515,best
heavy,SimCLR,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimCLR/heavy/0phsbb1q_encoder_epoch15.pth,3.092981360320534,3.085280046463013,15,64,0.7000000000000001,0.0002992655764534,-0.0077013138575208,best
uniform,SimSiam,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimSiam/uniform/883y4gzf_encoder_epoch15.pth,0.8906129215444837,0.8922836184501648,15,512,0.2,8.626025039546527e-05,0.0016706969056811,best
moderate,SimSiam,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimSiam/moderate/awq4bb61_encoder_epoch15.pth,0.7893927177148206,0.7877565668179438,15,128,0.8500000000000001,8.32803732979039e-05,-0.0016361508968767,best
heavy,SimSiam,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimSiam/heavy/a8dzsucc_encoder_epoch15.pth,0.753259210714272,0.7522172606908358,15,128,0.2,0.0083303491085888,-0.0010419500234362,best
uniform,BYOL,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/BYOL/uniform/vq3bpduc_encoder_epoch15.pth,1.573917648621968,1.579649239778519,15,512,0.7000000000000001,2.7861089801682444e-05,0.0057315911565509,best
moderate,BYOL,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/BYOL/moderate/7wnlxuy5_encoder_epoch15.pth,1.8147043761398112,1.8164262247085567,15,64,0.4,0.0001186854157249,0.001721848568746,best
heavy,BYOL,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/BYOL/heavy/t3yibp12_encoder_epoch15.pth,1.3696629703044891,1.3728596312659127,15,256,0.7000000000000001,9.299916104773108e-05,0.0031966609614235,best
uniform,SimCLR,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimCLR/uniform/v3jlmh5f_encoder_epoch15.pth,5.137537581580026,4.575376391410828,15,512,0.15,0.0009427592927996,-0.5621611901691983,worst
moderate,SimCLR,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimCLR/moderate/v79ockga_encoder_epoch15.pth,5.155429329190936,4.590017735958099,15,512,0.75,0.0004278490409257,-0.5654115932328363,worst
heavy,SimCLR,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimCLR/heavy/pm0smoi5_encoder_epoch15.pth,5.17178077357156,4.594919979572296,15,512,0.3,0.0002596314280257,-0.5768607939992636,worst
uniform,SimSiam,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimSiam/uniform/hkw9d5aw_encoder_epoch15.pth,1.4991951659321785,1.6226183032989503,15,64,0.9,0.0029832333864596,0.1234231373667718,worst
moderate,SimSiam,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimSiam/moderate/fqylvwae_encoder_epoch15.pth,1.5059850684234075,1.506113392966134,15,256,0.35,0.0086098616657887,0.0001283245427263,worst
heavy,SimSiam,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimSiam/heavy/a7sx0ph1_encoder_epoch15.pth,1.4601643894399916,1.4645157371248518,15,256,0.7000000000000001,6.407682108608916e-05,0.0043513476848602,worst
uniform,BYOL,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/BYOL/uniform/iitfix4c_encoder_epoch15.pth,3.3317654303142,3.3353777527809143,15,512,0.25,0.0040499693122925,0.0036123224667141,worst
moderate,BYOL,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/BYOL/moderate/zybnivsu_encoder_epoch15.pth,2.952501205461366,2.952258586883545,15,128,0.15,0.0053256655009667,-0.000242618577821,worst
heavy,BYOL,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/BYOL/heavy/3b0dp5gc_encoder_epoch15.pth,3.1704833933285306,3.1699536187308177,15,256,0.8500000000000001,0.0071275638383094,-0.0005297745977128,worst
extreme,BYOL,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/BYOL/extreme/1742621736_encoder_epoch20.pth,2.904,2.9156,20,256,0.5,0.0003,0.0,best
extreme,SimCLR,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimCLR/extreme/1742621792_encoder_epoch20.pth,4.285,4.407,20,256,0.5,0.0003,0.0,best
extreme,SimSiam,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimSiam/1742621835_encoder_epoch20.pth,1.3002,1.303,20,256,0.5,0.0003,0.0,best
